appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
16083	5475	UPnP	Network.Service: UPnP	elevated	192.168.9.223	239.255.255.250	
16083	5477	UPnP	Network.Service: UPnP	elevated	192.168.9.223	239.255.255.250	
17011	5483	Multicast.DNS	Network.Service: Multicast.DNS	elevated	192.168.9.223	224.0.0.251	
16083	5485	UPnP	Network.Service: UPnP	elevated	192.168.9.223	239.255.255.250	
16083	5487	UPnP	Network.Service: UPnP	elevated	192.168.9.223	239.255.255.250	
16083	5476	UPnP	Network.Service: UPnP	elevated	192.168.9.223	239.255.255.250	
33114	5478	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.9.223	192.168.9.175	
33114	5478	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.9.223	192.168.9.175	
33115	5478	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.9.223	192.168.9.175	
33115	5478	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.9.223	192.168.9.175	
10002858	5478	IEC.Devices	OT: IEC.Devices	low	192.168.9.223	192.168.9.175	
10002858	5478	IEC.Devices	OT: IEC.Devices	low	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41218	5478	IEC.60870.5.104_Information.Transfer.C.CS.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.CS.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41215	5478	IEC.60870.5.104_Information.Transfer.C.IC.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.IC.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41216	5478	IEC.60870.5.104_Information.Transfer.C.CI.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.CI.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41218	5478	IEC.60870.5.104_Information.Transfer.C.CS.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.CS.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41215	5478	IEC.60870.5.104_Information.Transfer.C.IC.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.IC.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
40860	5478	IEC.60870.5.104_Information.Transfer.M.SP.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.SP.NA.1	elevated	192.168.9.223	192.168.9.175	
33124	5478	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
40862	5478	IEC.60870.5.104_Information.Transfer.M.DP.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.DP.NA.1	elevated	192.168.9.223	192.168.9.175	
33124	5478	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41062	5478	IEC.60870.5.104_Information.Transfer.M.ME.NB.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.ME.NB.1	elevated	192.168.9.223	192.168.9.175	
33124	5478	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41064	5478	IEC.60870.5.104_Information.Transfer.M.ME.NC.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.ME.NC.1	elevated	192.168.9.223	192.168.9.175	
33124	5478	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41223	5478	IEC.60870.5.104_Information.Transfer.P.ME.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.P.ME.NA.1	elevated	192.168.9.223	192.168.9.175	
33123	5478	IEC.60870.5.104_Information.Transfer.Parameter.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer.Parameter.Transfer	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
40862	5478	IEC.60870.5.104_Information.Transfer.M.DP.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.DP.NA.1	elevated	192.168.9.223	192.168.9.175	
33124	5478	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41060	5478	IEC.60870.5.104_Information.Transfer.M.ME.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.M.ME.NA.1	elevated	192.168.9.223	192.168.9.175	
33124	5478	IEC.60870.5.104_Information.Transfer.Process.Monitor	Operational.Technology: IEC.60870.5.104_Information.Transfer.Process.Monitor	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41215	5478	IEC.60870.5.104_Information.Transfer.C.IC.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.IC.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41216	5478	IEC.60870.5.104_Information.Transfer.C.CI.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.CI.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33120	5478	IEC.60870.5.104_Information.Transfer	Operational.Technology: IEC.60870.5.104_Information.Transfer	elevated	192.168.9.223	192.168.9.175	
41216	5478	IEC.60870.5.104_Information.Transfer.C.CI.NA.1	Operational.Technology: IEC.60870.5.104_Information.Transfer.C.CI.NA.1	elevated	192.168.9.223	192.168.9.175	
33125	5478	IEC.60870.5.104_Information.Transfer.System.Information	Operational.Technology: IEC.60870.5.104_Information.Transfer.System.Information	elevated	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
33129	5478	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.9.223	192.168.9.175	
